date,close,pe_pct,ppi_raw,turnover_zscore,s_pe,s_ppi,s_turnover,total_score,mom_up_count,ret_12m,cond_a,cond_b,mom_filter,signal_raw,signal
2002-01-31,1221.76,,-4.0,,,1,,,,,False,False,False,不操作,数据不足
2002-02-28,1244.6,,-4.0,,,1,,,,,False,False,False,不操作,数据不足
2002-03-31,1313.47,,-4.1,,,1,,,,,False,False,False,不操作,数据不足
2002-04-30,1353.61,,-4.0,,,1,,,,,False,False,False,不操作,数据不足
2002-05-31,1238.58,,-3.1,,,1,,,,,False,False,False,不操作,数据不足
2002-06-30,1431.18,,-2.6,,,1,,,,,False,False,False,不操作,数据不足
2002-07-31,1358.16,,-2.5,,,1,,,,,False,False,False,不操作,数据不足
2002-08-31,1361.3,,-2.3,,,1,,,,,False,False,False,不操作,数据不足
2002-09-30,1285.65,,-1.7,,,1,,,,,False,False,False,不操作,数据不足
2002-10-31,1225.34,,-1.4,,,1,,,,,False,False,False,不操作,数据不足
2002-11-30,1164.62,,-1.0,,,0,,,,,False,False,False,不操作,数据不足
2002-12-31,1103.64,,-0.4,,,0,,,,,False,False,False,不操作,数据不足
2003-01-31,1207.6,,0.4,,,0,,,6.0,,False,False,False,不操作,数据不足
2003-02-28,1213.86,,2.4,,,0,,,6.0,-0.011589837611314935,False,True,True,不操作,数据不足
2003-03-31,1215.17,,4.0,,,-1,,,6.0,-0.02469869837698857,False,True,True,不操作,数据不足
2003-04-30,1239.95,,4.6,,,-1,,,6.0,-0.07483992782476945,False,True,True,不操作,数据不足
2003-05-31,1300.87,,3.6,,,-1,,,7.0,-0.08396805579154987,True,True,True,不操作,数据不足
2003-06-30,1214.55,,2.0,,,0,,,6.0,0.050291462804178844,False,True,True,不操作,数据不足
2003-07-31,1222.74,,1.3,,,0,,,7.0,-0.15136460822538056,True,True,True,不操作,数据不足
2003-08-31,1178.57,,1.4,,,0,,,6.0,-0.09970842905106914,False,True,True,不操作,数据不足
2003-09-30,1127.14,,1.4,,,0,,,6.0,-0.13423198413281423,False,True,True,不操作,数据不足
2003-10-31,1111.62,,1.4,,,0,,,6.0,-0.12329172014156264,False,True,True,不操作,数据不足
2003-11-30,1142.98,,1.2,,,0,,,7.0,-0.09280689441297929,True,True,True,不操作,数据不足
2003-12-31,1194.74,,1.9,,,0,,,8.0,-0.018581168106335033,True,True,True,不操作,数据不足
2004-01-31,1281.33,,3.0,,,0,,,8.0,0.08254503280055081,True,True,True,不操作,数据不足
2004-02-29,1351.61,,3.5,,,-1,,,8.0,0.061054985094402214,True,True,True,不操作,数据不足
2004-03-31,1384.95,,3.5,,,-1,,,8.0,0.11348096156064136,True,True,True,不操作,数据不足
2004-04-30,1239.72,,4.0,,,-1,,,7.0,0.13971707662302402,True,True,True,不操作,数据不足
2004-05-31,1206.84,,5.0,,,-1,,,6.0,-0.00018549135045764498,False,True,True,不操作,数据不足
2004-06-30,1078.49,,5.7,,,-1,,,6.0,-0.07228239562754157,False,True,True,不操作,数据不足
2004-07-31,1088.68,,6.4,,,-1,,,6.0,-0.11202502984644513,False,True,True,不操作,数据不足
2004-08-31,1055.97,,6.4,,,-1,,,6.0,-0.1096390074750151,False,True,True,不操作,数据不足
2004-09-30,1109.32,,6.8,,,-1,,,7.0,-0.10402436851438601,True,True,True,不操作,数据不足
2004-10-31,1050.3,,8.0,,,-1,,,7.0,-0.015809926007417152,True,True,True,不操作,数据不足
2004-11-30,1062.81,,8.4,,,-1,,,7.0,-0.055162735467156,True,True,True,不操作,数据不足
2004-12-31,1000.0,,8.1,,,-1,,,6.0,-0.07014120981994443,False,True,True,不操作,数据不足
2005-01-31,954.88,,7.1,,,-1,,,5.0,-0.16299780705425448,False,True,True,不操作,数据不足
2005-02-28,1039.99,,5.8,,,-1,,,5.0,-0.25477433604145694,False,False,False,不操作,数据不足
2005-03-31,942.2,,5.4,,,-1,,,4.0,-0.23055467183581058,False,False,False,不操作,数据不足
2005-04-30,932.4,,5.6,,,-1,,,4.0,-0.319686631286328,False,False,False,不操作,数据不足
2005-05-31,855.95,,5.8,,,-1,,,4.0,-0.2478946858968154,False,False,False,不操作,数据不足
2005-06-30,878.69,,6.0,,,-1,,,5.0,-0.29075105233502363,False,False,False,不操作,数据不足
2005-07-31,888.16,,5.2,,,-1,,,5.0,-0.1852590195551187,False,True,True,不操作,数据不足
2005-08-31,927.92,,5.2,,,-1,,,6.0,-0.1841863541169123,False,True,True,不操作,数据不足
2005-09-30,917.39,,5.3,,,-1,,,5.0,-0.12126291466613637,False,True,True,不操作,数据不足
2005-10-31,876.28,,4.5,,,-1,,,5.0,-0.17301590163343306,False,True,True,不操作,数据不足
2005-11-30,873.83,,4.0,-0.31139277039578633,,-1,0.0,,4.0,-0.16568599447776822,False,True,True,不操作,数据不足
2005-12-31,923.45,,3.2,-0.2261329949077251,,-1,0.0,,5.0,-0.17781165024792756,False,True,True,不操作,数据不足
2006-01-31,1009.6,,3.2,1.2244539396035954,,-1,-1.0,,6.0,-0.07655,False,True,True,不操作,数据不足
2006-02-28,1053.01,,3.0,1.255037751578414,,0,-1.0,,6.0,0.05730563002680977,False,True,True,不操作,数据不足
